,News,Links,MainLink
0,"Covid-hit Indian economy may have shrunk 14-26% in Q1, say economists in ET poll
Reference: Economic Times
Updated: 3 days ago
",https://news.google.com/articles/CBMipAFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vbmV3cy9lY29ub215L2luZGljYXRvcnMvY292aWQtaGl0LWluZGlhbi1lY29ub215LW1heS1oYXZlLXNocnVuay0xNC0yNi1pbi1xMS1zYXktZWNvbm9taXN0cy1pbi1ldC1wb2xsL2FydGljbGVzaG93Lzc3NjAzNDI2LmNtc9IBnwFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbmV3cy9lY29ub215L2luZGljYXRvcnMvY292aWQtaGl0LWluZGlhbi1lY29ub215LW1heS1oYXZlLXNocnVuay0xNC0yNi1pbi1xMS1zYXktZWNvbm9taXN0cy1pbi1ldC1wb2xsL2FtcF9hcnRpY2xlc2hvdy83NzYwMzQyNi5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMLiAmAswiaqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
1,"India’s retail loans up for their first litmus test post covid
Reference: Livemint
Updated: 10 hours ago
",https://news.google.com/articles/CAIiENUPQ4cvYMb4z6SmupYpSXwqFwgEKg4IACoGCAowxLQ_MNevCDDnvNMF?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMLiAmAswiaqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
2,"Buoyant stock markets to correct: RBI governor Shaktikanta Das
Reference: Times of India
Updated: 4 hours ago
",https://news.google.com/articles/CAIiEAKXGXbKQ5vwjeF1Mp4ljcIqGQgEKhAIACoHCAowzrL9CjDC7vQCMJCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMLiAmAswiaqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
3,"A new social contract: We need to fundamentally reform our labour markets
Reference: The Indian Express
Updated: 13 hours ago
",https://news.google.com/articles/CAIiEGF0iZKDg-lowG6uhnxZTOQqGAgEKg8IACoHCAow3rvTBDD89X4w0bTmBQ?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMLiAmAswiaqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
