,News,Links,MainLink
0,"Covaxin, India’s 1st Coronavirus Vaccine, May be Available by End of This Year: Health Minister Harsh V...
Reference: News18
Updated: 14 hours ago
",https://news.google.com/articles/CAIiEGubKl_ZdK5aNa8czPC706IqGQgEKhAIACoHCAow5qqNCzD4q58DMJahzgY?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMM-AmAswiqqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
1,"Coronavirus India lockdown Day 150 updates | August 21, 2020
Reference: The Hindu
Updated: 13 hours ago
",https://news.google.com/articles/CBMicWh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9uZXdzL25hdGlvbmFsL2Nvcm9uYXZpcnVzLWluZGlhLWxvY2tkb3duLWF1Z3VzdC0yMS0yMDIwLWxpdmUtdXBkYXRlcy9hcnRpY2xlMzI0MDk4NzQuZWNl0gF2aHR0cHM6Ly93d3cudGhlaGluZHUuY29tL25ld3MvbmF0aW9uYWwvY29yb25hdmlydXMtaW5kaWEtbG9ja2Rvd24tYXVndXN0LTIxLTIwMjAtbGl2ZS11cGRhdGVzL2FydGljbGUzMjQwOTg3NC5lY2UvYW1wLw?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMM-AmAswiqqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
2,"Global Coronavirus Updates, 21 August: Hong Kong offers free testing to all residents; European economic rebound slows as cases rise
Reference: The Indian Express
Updated: 2 hours ago
",https://news.google.com/articles/CAIiEARCoN9zA9gg29vst32M2SkqGAgEKg8IACoHCAow3rvTBDD89X4wkZjmBQ?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMM-AmAswiqqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
3,"Coronavirus LIVE: Global deaths inch closer to 800,000; India toll 55,174
Reference: Business Standard
Updated: 37 minutes ago
",https://news.google.com/articles/CAIiECH5o-6d8r0eJC2sfnEmJ3MqGQgEKhAIACoHCAowsLXdCjCm3dEBMOThpAM?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMM-AmAswiqqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
