,News,Links,MainLink
0,"Flying abroad from India? Who all can travel and which countries
Reference: Livemint
Updated: Yesterday
",https://news.google.com/articles/CAIiENVqPjmrKPFr-wrO1T5YvKwqFwgEKg4IACoGCAowxLQ_MNevCDCyrdsG?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMLuAmAswnaqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
1,"International Air Travel Explained: Who can fly abroad and where?
Reference: The Indian Express
Updated: 12 hours ago
",https://news.google.com/articles/CAIiEC18GrYx8rafvrYG92Pmt1YqGAgEKg8IACoHCAow3rvTBDD89X4wwLbmBQ?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMLuAmAswnaqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
2,"Kerala parties unite to fight airport lease
Reference: Times of India
Updated: 15 hours ago
",https://news.google.com/articles/CAIiEOBak5pakn0kU8EKw2Us-w0qGQgEKhAIACoHCAowzrL9CjDC7vQCMK2y1gU?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMLuAmAswnaqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
3,"Karnataka Bengaluru Coronavirus Live Updates: KCET 2020 results declared, over 1.53 lakh candidates qualify for engineering seats
Reference: The Indian Express
Updated: 3 hours ago
",https://news.google.com/articles/CAIiEMeiBZgLMnE5BhIm3muBwwEqGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMLuAmAswnaqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
